EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Flächen-Warmwasser-Fußbodenheizung;;
Untertitel;als Klettsystem liefern und montieren;;
;- Klett-Panel 3 mm oder 10 mm EPS DEO 100/035  ;;
;- Klett-Heizrohr Xa 16 x 2;;
;- Estrichmessstellenmarkierung;;
;- PE-Randdämmstreifen 10/150 | Comfort - selbstklebend | mit Folienlasche | 50 lfm (Hausmarke);;
;- Klemmverschraubung 16/17x2,0 mm 3/4” PEX - einzeln;;
;- Klebeband extrem reißfest | 50 mm breit | Rolle = 66 m;;
;- Rohrverbinder (Kupplung mit Ringen);;
;- Winkelspangen für Heizrohre 14-18 mm, Kunststoff schwarz (Rohrführung zum Umlenken der Heizrohre im Verteilerbereich);;
;- Dehnfugenschutzrohr geschlitzt für Rohr bis 20 mm im Bereich der Dehnfugen (ca. 300 mm lang);;
;- Dehnfugenschutzrohr zum Isolieren der Vor-/Rückläufe;;
;- Baustelleneinrichtung, Müllentsorgung, Bauleitung, Heizflächenauslegung und Abdrücken der Fußbodenheizung mit Luft sind im Preis enthalten;;
;- nicht enthalten: Montage der Verteiler, Schränke, Klemmleisten, Stellantriebe, Raumthermostate;;
;;;
;Komplettpreis Klettsystem Hausmarke;€/m²;30,63
